a,4,21.14,42.453,232.86,2016/3/15 19:06
c,4,21.97,37.999,215.71,2016/3/15 19:06
c,5,22.01,41.563,158.57,2016/3/15 19:06
a,1,20.72,45.41,197.14,2016/3/15 19:06
b,1,22.92,50.513,165.71,2016/3/15 19:06
b,2,22.67,64.647,185.71,2016/3/15 19:06
b,3,22.75,53.186,187.14,2016/3/15 19:06
c,1,22.27,40.388,142.86,2016/3/15 19:06
c,2,22.1,50.351,172.86,2016/3/15 19:06
c,3,22.1,35.325,154.29,2016/3/15 19:06
a,2,21.12,43.709,188.57,2016/3/15 19:06
a,4,21.14,42.494,232.86,2016/3/15 19:06
a,1,20.72,45.41,200,2016/3/15 19:06
a,3,20.74,41.36,214.29,2016/3/15 19:06
c,1,22.28,40.307,142.86,2016/3/15 19:06
c,2,22.1,50.392,172.86,2016/3/15 19:06
b,1,22.91,50.513,165.71,2016/3/15 19:06
b,2,22.66,64.607,185.71,2016/3/15 19:06
b,3,22.75,53.186,184.29,2016/3/15 19:06
c,3,22.09,35.325,157.14,2016/3/15 19:06
c,4,21.98,37.999,220,2016/3/15 19:06
c,5,22,41.563,158.57,2016/3/15 19:06
a,2,21.12,43.709,185.71,2016/3/15 19:06
a,1,20.72,45.41,198.57,2016/3/15 19:06
a,3,20.74,41.36,214.29,2016/3/15 19:06
a,4,21.14,42.535,232.86,2016/3/15 19:06
c,4,21.98,37.999,217.14,2016/3/15 19:06
b,1,22.9,50.513,165.71,2016/3/15 19:06
b,2,22.66,64.647,185.71,2016/3/15 19:06
b,3,22.76,53.186,185.71,2016/3/15 19:06
c,1,22.26,40.307,144.29,2016/3/15 19:06
c,2,22.11,50.392,168.57,2016/3/15 19:06
c,3,22.09,35.285,155.71,2016/3/15 19:06
c,5,22,41.563,160,2016/3/15 19:06
a,2,21.12,43.709,185.71,2016/3/15 19:06
a,3,20.74,41.401,215.71,2016/3/15 19:06
a,1,20.72,45.41,198.57,2016/3/15 19:06
a,4,21.14,42.494,230,2016/3/15 19:06
c,1,22.28,40.307,142.86,2016/3/15 19:06
c,4,21.98,37.999,215.71,2016/3/15 19:06
b,1,22.92,50.513,165.71,2016/3/15 19:06
b,2,22.66,64.607,184.29,2016/3/15 19:06
b,3,22.74,53.145,184.29,2016/3/15 19:06
c,2,22.1,50.432,172.86,2016/3/15 19:06
c,3,22.09,35.325,157.14,2016/3/15 19:06
c,5,22,41.563,158.57,2016/3/15 19:06
a,2,21.12,43.709,185.71,2016/3/15 19:06
a,1,20.71,45.41,198.57,2016/3/15 19:06
a,3,20.73,41.36,210,2016/3/15 19:06
a,4,21.14,42.494,232.86,2016/3/15 19:06
c,2,22.1,50.392,172.86,2016/3/15 19:06
c,3,22.09,35.325,160,2016/3/15 19:06
c,5,22,41.522,157.14,2016/3/15 19:06
b,1,22.91,50.513,165.71,2016/3/15 19:06
c,1,22.27,40.307,142.86,2016/3/15 19:06
c,4,21.98,38.039,218.57,2016/3/15 19:06
a,2,21.12,43.709,187.14,2016/3/15 19:06
b,2,22.66,64.647,185.71,2016/3/15 19:06
b,3,22.75,53.145,184.29,2016/3/15 19:06
a,1,20.71,45.41,198.57,2016/3/15 19:06
a,3,20.74,41.36,214.29,2016/3/15 19:06
a,4,21.14,42.494,230,2016/3/15 19:06
c,1,22.27,40.307,142.86,2016/3/15 19:06
c,2,22.1,50.432,172.86,2016/3/15 19:06
c,3,22.08,35.325,160,2016/3/15 19:06
b,1,22.92,50.513,165.71,2016/3/15 19:06
b,2,22.67,64.607,184.29,2016/3/15 19:06
b,3,22.75,53.145,184.29,2016/3/15 19:06
c,4,21.98,38.039,218.57,2016/3/15 19:06
c,5,22,41.563,158.57,2016/3/15 19:06
a,2,21.12,43.709,185.71,2016/3/15 19:06
a,1,20.7,45.41,198.57,2016/3/15 19:06
a,3,20.74,41.36,214.29,2016/3/15 19:06
a,4,21.14,42.494,232.86,2016/3/15 19:06
c,1,22.26,40.307,144.29,2016/3/15 19:06
c,3,22.09,35.325,158.57,2016/3/15 19:06
c,5,22,41.563,158.57,2016/3/15 19:06
b,2,22.66,64.607,187.14,2016/3/15 19:06
b,3,22.74,53.145,185.71,2016/3/15 19:06
c,2,22.11,50.392,172.86,2016/3/15 19:06
c,4,21.98,38.039,215.71,2016/3/15 19:06
b,1,22.91,50.513,164.29,2016/3/15 19:06
a,2,21.12,43.709,184.29,2016/3/15 19:06
a,4,21.13,42.535,231.43,2016/3/15 19:06
a,1,20.72,45.41,198.57,2016/3/15 19:06
a,3,20.73,41.441,214.29,2016/3/15 19:06
c,1,22.26,40.347,144.29,2016/3/15 19:06
c,4,21.98,37.999,215.71,2016/3/15 19:06
c,5,22,41.603,158.57,2016/3/15 19:06
b,1,22.91,50.513,165.71,2016/3/15 19:06
b,2,22.66,64.607,187.14,2016/3/15 19:06
b,3,22.74,53.105,184.29,2016/3/15 19:06
c,2,22.1,50.351,174.29,2016/3/15 19:06
c,3,22.08,35.325,160,2016/3/15 19:06
a,2,21.12,43.709,184.29,2016/3/15 19:06
a,1,20.7,45.37,197.14,2016/3/15 19:06
a,3,20.74,41.441,215.71,2016/3/15 19:06
a,4,21.14,42.535,231.43,2016/3/15 19:06
c,1,22.25,40.307,142.86,2016/3/15 19:06
c,4,21.97,37.999,218.57,2016/3/15 19:06
c,5,22,41.563,158.57,2016/3/15 19:06
b,2,22.66,64.607,184.29,2016/3/15 19:06
c,2,22.1,50.351,172.86,2016/3/15 19:06
c,3,22.09,35.325,161.43,2016/3/15 19:06
a,2,21.12,43.709,185.71,2016/3/15 19:06
b,1,22.91,50.513,165.71,2016/3/15 19:06
b,3,22.76,53.186,184.29,2016/3/15 19:06
a,1,20.72,45.37,197.14,2016/3/15 19:06
a,3,20.73,41.441,212.86,2016/3/15 19:06
a,4,21.14,42.494,230,2016/3/15 19:06
c,4,21.98,37.999,217.14,2016/3/15 19:06
c,5,22,41.603,158.57,2016/3/15 19:06
b,1,22.9,50.513,164.29,2016/3/15 19:06
b,2,22.66,64.607,184.29,2016/3/15 19:06
b,3,22.74,53.186,184.29,2016/3/15 19:06
c,1,22.26,40.307,144.29,2016/3/15 19:06
c,2,22.09,50.351,172.86,2016/3/15 19:06
c,3,22.08,35.325,160,2016/3/15 19:06
a,2,21.12,43.709,185.71,2016/3/15 19:06
a,1,20.72,45.37,198.57,2016/3/15 19:06
a,4,21.14,42.494,232.86,2016/3/15 19:06
a,3,20.74,41.441,214.29,2016/3/15 19:06
c,4,21.97,37.999,215.71,2016/3/15 19:06
b,1,22.92,50.513,165.71,2016/3/15 19:06
b,2,22.65,64.607,185.71,2016/3/15 19:06
b,3,22.75,53.186,184.29,2016/3/15 19:06
c,1,22.24,40.307,142.86,2016/3/15 19:06
c,2,22.1,50.351,168.57,2016/3/15 19:06
c,3,22.09,35.325,157.14,2016/3/15 19:06
c,5,21.99,41.603,158.57,2016/3/15 19:06
a,2,21.11,43.709,187.14,2016/3/15 19:06
a,1,20.71,45.37,195.71,2016/3/15 19:06
a,3,20.74,41.401,212.86,2016/3/15 19:06
a,4,21.14,42.413,231.43,2016/3/15 19:06
c,2,22.1,50.351,171.43,2016/3/15 19:06
c,4,21.98,37.999,217.14,2016/3/15 19:06
c,5,21.99,41.603,158.57,2016/3/15 19:06
b,2,22.66,64.607,185.71,2016/3/15 19:06
b,3,22.75,53.145,184.29,2016/3/15 19:06
c,1,22.25,40.347,144.29,2016/3/15 19:06
a,2,21.1,43.709,185.71,2016/3/15 19:06
b,1,22.91,50.472,165.71,2016/3/15 19:06
a,1,20.71,45.37,201.43,2016/3/15 19:06
a,3,20.74,41.36,215.71,2016/3/15 19:06
a,4,21.14,42.413,234.29,2016/3/15 19:06
c,1,22.24,40.307,144.29,2016/3/15 19:06
c,2,22.09,50.392,171.43,2016/3/15 19:06
c,3,22.08,35.366,155.71,2016/3/15 19:06
c,3,22.09,35.366,158.57,2016/3/15 19:06
b,3,22.74,53.186,185.71,2016/3/15 19:06
c,4,21.96,38.039,217.14,2016/3/15 19:06
c,5,21.99,41.603,160,2016/3/15 19:06
b,1,22.92,50.472,165.71,2016/3/15 19:06
b,2,22.66,64.607,185.71,2016/3/15 19:06
a,2,21.1,43.709,184.29,2016/3/15 19:06
a,1,20.7,45.37,198.57,2016/3/15 19:06
a,3,20.74,41.401,214.29,2016/3/15 19:06
a,4,21.14,42.494,231.43,2016/3/15 19:06
c,1,22.25,40.307,144.29,2016/3/15 19:06
c,2,22.09,50.351,172.86,2016/3/15 19:06
c,3,22.08,35.325,158.57,2016/3/15 19:06
c,5,21.98,41.603,158.57,2016/3/15 19:06
b,1,22.92,50.472,164.29,2016/3/15 19:06
b,2,22.66,64.607,184.29,2016/3/15 19:06
b,3,22.74,53.145,184.29,2016/3/15 19:06
c,4,21.96,38.039,217.14,2016/3/15 19:06
a,2,21.12,43.709,184.29,2016/3/15 19:06
a,1,20.72,45.37,195.71,2016/3/15 19:06
a,4,21.14,42.453,231.43,2016/3/15 19:06
a,3,20.74,41.441,212.86,2016/3/15 19:06
c,5,21.98,41.603,158.57,2016/3/15 19:06
b,1,22.92,50.472,167.14,2016/3/15 19:06
b,2,22.66,64.607,188.57,2016/3/15 19:06
b,3,22.75,53.145,185.71,2016/3/15 19:06
c,1,22.24,40.307,144.29,2016/3/15 19:06
c,2,22.09,50.351,171.43,2016/3/15 19:06
c,3,22.08,35.366,158.57,2016/3/15 19:06
c,4,21.96,38.039,217.14,2016/3/15 19:06
a,2,21.1,43.709,187.14,2016/3/15 19:06
a,3,20.74,41.401,211.43,2016/3/15 19:06
a,1,20.71,45.37,197.14,2016/3/15 19:07
a,4,21.14,42.453,231.43,2016/3/15 19:07
c,1,22.25,40.307,142.86,2016/3/15 19:07
c,2,22.08,50.351,168.57,2016/3/15 19:07
c,4,21.96,38.039,218.57,2016/3/15 19:07
c,5,21.99,41.603,158.57,2016/3/15 19:07
b,1,22.92,50.513,165.71,2016/3/15 19:07
b,2,22.66,64.607,184.29,2016/3/15 19:07
b,3,22.75,53.105,182.86,2016/3/15 19:07
c,3,22.07,35.366,158.57,2016/3/15 19:07
a,2,21.11,43.669,185.71,2016/3/15 19:07
a,1,20.71,45.37,198.57,2016/3/15 19:07
a,4,21.14,42.494,232.86,2016/3/15 19:07
a,3,20.72,41.441,212.86,2016/3/15 19:07
c,1,22.24,40.388,144.29,2016/3/15 19:07
c,2,22.09,50.351,172.86,2016/3/15 19:07
c,3,22.08,35.366,158.57,2016/3/15 19:07
c,5,21.98,41.603,157.14,2016/3/15 19:07
b,1,22.92,50.513,164.29,2016/3/15 19:07
b,2,22.67,64.607,185.71,2016/3/15 19:07
b,3,22.75,53.105,182.86,2016/3/15 19:07
c,4,21.97,38.039,217.14,2016/3/15 19:07
a,2,21.11,43.669,185.71,2016/3/15 19:07
a,1,20.72,45.37,198.57,2016/3/15 19:07
a,3,20.74,41.441,214.29,2016/3/15 19:07
a,4,21.14,42.494,230,2016/3/15 19:07
c,3,22.08,35.366,157.14,2016/3/15 19:07
c,4,21.97,38.039,217.14,2016/3/15 19:07
b,1,22.92,50.513,164.29,2016/3/15 19:07
b,2,22.67,64.607,184.29,2016/3/15 19:07
b,3,22.75,53.105,182.86,2016/3/15 19:07
c,1,22.24,40.388,142.86,2016/3/15 19:07
c,2,22.09,50.351,172.86,2016/3/15 19:07
c,5,21.97,41.644,157.14,2016/3/15 19:07
a,2,21.11,43.669,185.71,2016/3/15 19:07
a,1,20.71,45.37,197.14,2016/3/15 19:07
a,3,20.72,41.441,211.43,2016/3/15 19:07
a,4,21.14,42.453,228.57,2016/3/15 19:07
c,1,22.25,40.388,144.29,2016/3/15 19:07
b,1,22.92,50.513,165.71,2016/3/15 19:07
b,2,22.64,64.607,181.43,2016/3/15 19:07
b,3,22.75,53.186,184.29,2016/3/15 19:07
c,2,22.08,50.351,168.57,2016/3/15 19:07
c,3,22.08,35.366,158.57,2016/3/15 19:07
c,4,21.97,38.039,214.29,2016/3/15 19:07
c,5,21.98,41.644,157.14,2016/3/15 19:07
a,2,21.12,43.709,184.29,2016/3/15 19:07
a,4,21.14,42.453,231.43,2016/3/15 19:07
a,1,20.7,45.37,197.14,2016/3/15 19:07
a,3,20.72,41.441,214.29,2016/3/15 19:07
c,1,22.24,40.388,142.86,2016/3/15 19:07
c,3,22.08,35.366,157.14,2016/3/15 19:07
b,1,22.92,50.513,162.86,2016/3/15 19:07
b,2,22.67,64.607,185.71,2016/3/15 19:07
b,3,22.74,53.267,184.29,2016/3/15 19:07
